Name,Size,Watt,Price
be quiet! System Power 11 650W,ATX,650W,23753.15
be quiet! System Power 11 750W,ATX,750W,23753.15
be quiet! System Power 8,ATX,600W,23753.15
be quiet! System Power 8,ATX,400W,23753.15
be quiet! System Power 8,ATX,500W,23753.15
be quiet! System Power 9 80 PLUS Bronze,ATX,400W,17123.3
be quiet! System Power 9 80 PLUS Bronze,ATX,500W,17123.3
be quiet! System Power 9 80 PLUS Bronze,ATX,600W,17123.3
be quiet! System Power 9 80 PLUS Bronze,ATX,700W,17123.3
be quiet! System Power 9 CM,ATX,600W,12898.57
be quiet! System Power 9 CM,ATX,700W,12898.57
be quiet! System Power 9 CM,ATX,500W,12898.57
be quiet! System Power 9 CM,ATX,400W,12898.57
be quiet! System Power B10,ATX,550W,23753.15
be quiet! System Power B8,ATX,300W,23753.15
be quiet! System Power B8,ATX,550W,23753.15
be quiet! System Power B8,ATX,450W,23753.15
be quiet! System Power B8,ATX,350W,23753.15
be quiet! System Power B9 80 PLUS Bronze,ATX,300W,17123.3
be quiet! System Power B9 80 PLUS Bronze,ATX,350W,17123.3
be quiet! System Power B9 80 PLUS Bronze,ATX,450W,17123.3
be quiet! System Power B9 80 PLUS Bronze,ATX,600W,17123.3
be quiet! TFX Power 2 80 PLUS Bronze,TFX,300W,12421.76
be quiet! TFX Power 2 80 PLUS Gold,TFX,300W,12421.76
be quiet! TFX Power 3,TFX,300W,12421.76
be quiet! TFX Power 3,TFX,300W,12421.76
BitFenix Formula 80 PLUS Gold,ATX,750W,NULL
BitFenix Whisper M 80 PLUS Gold,ATX,750W,NULL
Chieftec A-90 Serie GDP-550C 90 Plus Gold,ATX,550W,NULL
Chieftec A-90 Serie GDP-650C 90 Plus Gold,ATX,650W,NULL
Chieftec A-90 Serie GDP-750C 90 Plus Gold,ATX,750W,NULL
Chieftec Atmos,ATX,750W,19156.78
Chieftec Atmos,ATX,850W,19156.78
Chieftec CDP-120ITX 120 Watt AC-DC Adapter inkl. Wandlerplatine,external,120W,NULL
Chieftec CSN-550C SFX,SFX,550W,NULL
Chieftec CSN-650C SFX,SFX,650W,NULL
Chieftec EON,ATX,600W,16593.9
Chieftec EON,ATX,700W,16593.9
Chieftec EON ZPU-400S,ATX,400W,NULL
